,shot,time,time_until_disrupt,ip,Wmhd,n_e,kappa,li
303,1150805015,0.6600000262260437,1.0629000663757324,-492467.498938468,38296.0625,2.5447244898312785e+20,1.68342244625092,1.16357123851776
304,1150805016,0.6600000262260437,1.0302999019622803,-495287.811457092,37574.9453125,2.5286414059445918e+20,1.68673133850098,1.15869057178497
305,1150805017,0.6600000262260437,1.0100998878479004,-495282.687071663,26316.67578125,2.046248321873246e+20,1.70139217376709,1.15441811084747
306,1150805019,0.6600000262260437,0.9576999545097351,-492626.21847065,19862.45703125,1.5912848257631584e+20,1.67066943645477,1.24008536338806
307,1150805020,0.6600000262260437,1.092099905014038,-498574.51650961,33900.26953125,1.9324419000643623e+20,1.66939294338226,1.1738977432251
308,1150805021,0.6600000262260437,0.984499990940094,-503266.501489869,42204.515625,2.6014760091236162e+20,1.69499027729034,1.16275227069855
309,1150805022,0.6600000262260437,0.5468999743461609,-474464.78125,13357.9072265625,1.7344391914997193e+20,1.62926113605499,1.3354903459549
310,1150805012,0.6800000071525574,0.616100013256073,-498410.9375,22339.4296875,1.6389587868868192e+20,1.72061967849731,1.26025819778442
311,1150805022,0.6800000071525574,0.5268999934196472,-475398.0625,15384.5927734375,1.8909615294516278e+20,1.64560747146606,1.37842345237732
312,1150805013,0.6800000071525574,,-495442.25,34574.35546875,2.5156015741145966e+20,1.67658674716949,1.20111095905304
313,1150805021,0.6800000071525574,0.9645000100135803,-500604.984375,41309.015625,2.6979070273039496e+20,1.69470489025116,1.15617489814758
314,1150805020,0.6800000071525574,1.0720999240875244,-500766.6875,34886.66796875,2.1201427613594708e+20,1.67599833011627,1.17765462398529
315,1150805019,0.6800000071525574,0.9376999735832214,-495757.453125,21080.58984375,1.6355205478042173e+20,1.67878830432892,1.23817527294159
316,1150805017,0.6800000071525574,0.9900999665260315,-482917.59375,33281.14453125,1.916207311450309e+20,1.64168167114258,1.24881780147552
317,1150805016,0.6800000071525574,1.0102999210357666,-497633.21875,36235.87109375,2.6857598794651022e+20,1.69549238681793,1.1721259355545
318,1150805015,0.6800000071525574,1.0429000854492188,-494033.109375,37245.69140625,2.6806807147653933e+20,1.67453551292419,1.19739580154419
319,1150805014,0.6800000071525574,,-496226.125,35359.19921875,2.30001872319446e+20,1.67901718616486,1.1916708946228
320,1150805013,0.699999988079071,,-488709.6875,21235.939453125,1.9425861615698077e+20,1.67313063144684,1.24445354938507
321,1150805014,0.699999988079071,,-497007.96875,36539.2578125,2.4467792863259132e+20,1.67418944835663,1.20345664024353
322,1150805012,0.699999988079071,0.5961000323295593,-499661.46875,27072.515625,1.7818972545658287e+20,1.71642601490021,1.24846029281616
323,1150805015,0.699999988079071,1.022900104522705,-491206.625,27767.76171875,2.2193590452696115e+20,1.68793201446533,1.20076239109039
324,1150805016,0.699999988079071,0.9902999997138977,-493558.265625,37337.16796875,2.7985984466348717e+20,1.69134175777435,1.17164850234985
325,1150805017,0.699999988079071,0.9700999855995178,-507338.578125,41279.859375,2.0551129036244353e+20,1.68006575107574,1.19503664970398
326,1150805019,0.699999988079071,0.9176999926567078,-496066.484375,21964.123046875,1.675573158905792e+20,1.68681120872498,1.24821603298187
327,1150805020,0.699999988079071,1.0520999431610107,-501866.796875,33703.3203125,2.297972218700926e+20,1.68169951438904,1.1794445514679
328,1150805021,0.699999988079071,0.9445000290870667,-497789.78125,42077.47265625,2.7465753332288877e+20,1.69673383235931,1.13838112354279
329,1150805022,0.699999988079071,0.5069000124931335,-485570.0625,16332.396484375,1.7598187650708275e+20,1.68222403526306,1.33364045619965
330,1150805013,0.7199999690055847,,-487928.04599039,35036.00390625,1.8571177836147848e+20,1.6521360874176,1.25744223594666
331,1150805014,0.7199999690055847,,-497944.499106079,36551.5078125,2.600563123611901e+20,1.6759934425354,1.21710765361786
332,1150805012,0.7200000286102295,0.5760999917984009,-497789.78125,30721.55859375,2.0089530296923285e+20,1.71538197994232,1.23172378540039
333,1150805015,0.7200000286102295,1.0029000043869019,-482290.265625,33767.25390625,1.9708868040749508e+20,1.65119922161102,1.23079299926758
334,1150805017,0.7200000286102295,0.9500999450683594,-514380.171875,36066.8515625,2.1870218269022755e+20,1.72653675079346,1.1154168844223
335,1150805016,0.7200000286102295,0.9702999591827393,-488082.375,26179.744140625,2.2104469787184192e+20,1.68248319625854,1.19854533672333
336,1150805022,0.7200000286102295,0.4868999719619751,-490268.21875,18594.857421875,1.719898698104466e+20,1.68832969665527,1.33538341522217
337,1150805021,0.7200000286102295,0.9244999885559082,-494500.765625,39901.16796875,2.814118444079608e+20,1.68810737133026,1.15426886081696
338,1150805020,0.7200000286102295,1.032099962234497,-501078.8125,36096.37890625,2.4613761934060205e+20,1.6923246383667,1.17660462856293
339,1150805019,0.7200000286102295,0.8976999521255493,-493402.71875,19633.03515625,1.6555893613770552e+20,1.6682950258255,1.2535046339035
340,1150805012,0.7400000095367432,0.5561000108718872,-497943.28125,27793.896484375,2.2500400100729746e+20,1.70241510868073,1.23818111419678
341,1150805019,0.7400000095367432,0.8776999711990356,-493246.15625,22505.544921875,1.691867201734049e+20,1.67366909980774,1.25036108493805
342,1150805013,0.7400000095367432,,-510939.71875,37033.83984375,1.9228750570539555e+20,1.69518792629242,1.18372297286987
343,1150805020,0.7400000095367432,1.0120999813079834,-496380.640625,36324.99609375,2.5741759693192836e+20,1.6877908706665,1.16648530960083
344,1150805021,0.7400000095367432,0.9045000076293945,-492465.34375,39361.3828125,2.8941155530888154e+20,1.67504107952118,1.16174578666687
345,1150805022,0.7400000095367432,0.4668999910354614,-497319.03125,22569.27734375,1.7804902053698666e+20,1.71140289306641,1.2552615404129
346,1150805016,0.7400000095367432,0.9502999782562256,-482918.609375,33387.58203125,2.0360676849875855e+20,1.63620901107788,1.26522743701935
347,1150805017,0.7400000095367432,0.9300999641418457,-504049.546875,37038.37890625,2.3086245299655878e+20,1.71954095363617,1.13638556003571
348,1150805015,0.7400000095367432,0.9829000234603882,-498259.5,46432.2734375,1.996509479615315e+20,1.66307783126831,1.17561733722687
349,1150805014,0.7400000095367432,,-494971.5,35796.24609375,2.727852363851835e+20,1.67262971401215,1.1974641084671
350,1150805013,0.7599999904632568,,-506396.0625,30600.455078125,2.05161945840773e+20,1.70515286922455,1.16058731079102
351,1150805014,0.7599999904632568,,-493562.359375,33736.73828125,2.5908263944650267e+20,1.6822669506073,1.19786858558655
352,1150805012,0.7599999904632568,0.5361000299453735,-495439.1875,32734.53515625,2.4603516552325425e+20,1.70895957946777,1.24145984649658
353,1150805015,0.7599999904632568,0.9629000425338745,-505775.9375,45671.34765625,2.1165790832455562e+20,1.6800000667572,1.1628440618515
354,1150805017,0.7599999904632568,0.910099983215332,-496536.203125,37108.234375,2.3792894455562433e+20,1.7032630443573,1.13433063030243
355,1150805016,0.7599999904632568,0.9302999973297119,-494345.234375,28174.044921875,1.9093444659893132e+20,1.66708838939667,1.26108360290527
356,1150805022,0.7599999904632568,0.44690001010894775,-500922.234375,22191.126953125,1.836766474124367e+20,1.71515440940857,1.23949456214905
357,1150805021,0.7599999904632568,0.8845000267028809,-489488.453125,39620.08984375,3.0055788149465396e+20,1.66368210315704,1.20097231864929
358,1150805020,0.7599999904632568,0.9921000003814697,-491059.28125,36846.515625,2.6984299203389325e+20,1.67013359069824,1.1768102645874
359,1150805019,0.7599999904632568,0.857699990272522,-496851.390625,23897.71484375,1.734527230290787e+20,1.68259131908417,1.25090074539185
360,1150805012,0.7799999713897705,0.5161000490188599,-495435.0625,23918.541015625,2.1426285730506804e+20,1.72995162010193,1.23529350757599
361,1150805019,0.7799999713897705,0.8377000093460083,-497790.8125,25327.654296875,1.850427607721938e+20,1.69285333156586,1.22674524784088
362,1150805013,0.7799999713897705,,-494189.671875,30176.060546875,2.1692027492987368e+20,1.68701720237732,1.17885136604309
363,1150805020,0.7799999713897705,0.972100019454956,-490747.171875,36670.203125,2.7716610765426124e+20,1.6769540309906,1.1579008102417
364,1150805021,0.7799999713897705,0.8645000457763672,-487294.40625,24981.802734375,2.2784725133013074e+20,1.66036224365234,1.24267518520355
365,1150805022,0.7799999713897705,0.4269000291824341,-502168.65625,24629.3984375,1.873980308386787e+20,1.71465075016022,1.23423862457275
366,1150805016,0.7799999713897705,0.9103000164031982,-469131.109375,12274.3046875,1.3046623242294285e+20,1.63479244709015,1.45948767662048
367,1150805017,0.7799999713897705,0.8901000022888184,-493252.3125,30741.208984375,2.4254544193545286e+20,1.68092250823975,1.15463650226593
368,1150805015,0.7799999713897705,0.9429000616073608,-508587.03125,44631.89453125,2.224275122545104e+20,1.69845116138458,1.17530882358551
369,1150805014,0.7799999713897705,,-481821.578125,25249.7421875,2.1294601346630975e+20,1.63084256649017,1.28979420661926
370,1150805013,0.800000011920929,,-486206.609375,31943.78125,2.2816482887301084e+20,1.65327644348145,1.20570385456085
371,1150805014,0.800000011920929,,-490741.03125,36199.25390625,1.9874566657895105e+20,1.64121782779694,1.28601276874542
372,1150805012,0.800000011920929,0.4961000084877014,-484002.3125,28039.994140625,1.9268299703267767e+20,1.6963654756546,1.29297018051147
373,1150805015,0.800000011920929,0.9229000210762024,-508585.015625,44416.86328125,2.2951509162814974e+20,1.71589457988739,1.1631133556366
374,1150805017,0.800000011920929,0.8700999617576599,-482598.28125,25291.0078125,1.8967006496819963e+20,1.65316271781921,1.24001157283783
375,1150805016,0.800000011920929,0.8902999758720398,-481185.0625,10698.6259765625,1.1391499762486131e+20,1.66475224494934,1.38771164417267
376,1150805022,0.800000011920929,0.40689998865127563,-503734.359375,25260.130859375,1.878143557505692e+20,1.73194789886475,1.20119738578796
377,1150805021,0.800000011920929,0.8445000052452087,-485102.40625,29698.15234375,2.1121666852882432e+20,1.65539169311523,1.2669997215271
378,1150805020,0.800000011920929,0.9520999789237976,-493874.46875,36390.42578125,2.8477405181021055e+20,1.67365574836731,1.19196498394012
379,1150805019,0.800000011920929,0.8176999688148499,-504206.125,31456.916015625,2.0860895057705278e+20,1.71294701099396,1.20474779605865
380,1150805012,0.8199999928474426,0.47610002756118774,-505142.5,27522.642578125,1.9779025331012282e+20,1.73245596885681,1.2441793680191
381,1150805019,0.8199999928474426,0.7976999878883362,-503733.328125,28766.46875,2.155036352546657e+20,1.73267889022827,1.15543949604034
382,1150805013,0.8199999928474426,,-487770.265625,33538.3671875,2.3803836139502626e+20,1.65460193157196,1.23142385482788
383,1150805020,0.8199999928474426,0.9320999979972839,-495278.5,36326.41796875,2.9295913435959244e+20,1.68975651264191,1.18068492412567
384,1150805021,0.8199999928474426,0.8245000243186951,-496849.34375,43374.72265625,2.2007398218693663e+20,1.67401587963104,1.22261726856232
385,1150805022,0.8199999928474426,0.38690000772476196,-501855.515625,29470.140625,2.0692159226688045e+20,1.71945917606354,1.20382142066956
386,1150805016,0.8199999928474426,0.8702999949455261,-494654.265625,13410.4462890625,1.1817362694445718e+20,1.71017849445343,1.32208669185638
387,1150805017,0.8199999928474426,0.8500999808311462,-494653.234375,36794.43359375,1.979447557230722e+20,1.65373563766479,1.20971155166626
388,1150805015,0.8199999928474426,0.9029000401496887,-503736.421875,44006.83203125,2.3805252592455726e+20,1.71603262424469,1.1627916097641
389,1150805014,0.8199999928474426,,-510623.484375,38142.75,2.1108297040933624e+20,1.70111691951752,1.21341812610626
390,1150805013,0.8399999737739563,,-486669.15625,32592.146484375,1.8841856592575254e+20,1.63648426532745,1.28560817241669
391,1150805014,0.8399999737739563,,-508429.547033299,36296.01171875,2.236149673897088e+20,1.72658228874207,1.17284452915192
392,1150805012,0.8399999737739563,0.4561000466346741,-499822.96841478,23516.361328125,2.1276259513669563e+20,1.72559642791748,1.2812066078186
393,1150805015,0.8399999737739563,0.882900059223175,-499197.061606079,43845.16796875,2.479122936499628e+20,1.70045065879822,1.18031847476959
394,1150805017,0.8399999737739563,0.8300999999046326,-507018.451625819,37873.6796875,2.131318808064575e+20,1.69545233249664,1.17333960533142
395,1150805016,0.8399999737739563,0.8503000140190125,-498100.15431317,15468.4013671875,1.3525070760613934e+20,1.72889673709869,1.25629806518555
396,1150805022,0.8399999737739563,0.3669000267982483,-502173.5025514,34954.41796875,2.2463734549728834e+20,1.72042608261108,1.17134594917297
397,1150805021,0.8399999737739563,0.8045000433921814,-509684.986041791,43485.30078125,2.3066174298620166e+20,1.71592569351196,1.19046020507812
398,1150805020,0.8399999737739563,0.9121000170707703,-494334.875446961,36920.7265625,2.981283868199037e+20,1.69947731494904,1.15145862102509
399,1150805019,0.8399999737739563,0.7777000069618225,-499663.60832278,31324.9609375,2.1567406962549912e+20,1.70947539806366,1.18503487110138
400,1150805013,0.85999995470047,,-502638.374385429,47251.62109375,2.0700553055018752e+20,1.67288672924042,1.20012390613556
401,1150805014,0.85999995470047,,-500449.4375,35612.90234375,2.35990340103906e+20,1.70862817764282,1.19080352783203
402,1150805012,0.8600000143051147,0.4361000061035156,-491209.703125,23616.841796875,1.7968024998301172e+20,1.72001850605011,1.29324173927307
403,1150805015,0.8600000143051147,0.8629000186920166,-496850.359375,43266.80859375,2.5946277801431302e+20,1.7063102722168,1.16896045207977
404,1150805016,0.8600000143051147,0.830299973487854,-494812.890625,23282.494140625,1.6070104096367467e+20,1.70762014389038,1.26645684242249
405,1150805017,0.8600000143051147,0.8100999593734741,-502169.6875,38431.56640625,2.2844190639589576e+20,1.71024608612061,1.16624855995178
406,1150805019,0.8600000143051147,0.7576999664306641,-500918.125,37987.078125,2.2958860218832074e+20,1.70635437965393,1.15365862846375
407,1150805020,0.8600000143051147,0.8920999765396118,-489640.921875,25118.099609375,2.3626655669666306e+20,1.69849562644958,1.18583643436432
408,1150805021,0.8600000143051147,0.784500002861023,-509995.15625,40864.328125,2.4267953899552797e+20,1.73457133769989,1.17249226570129
409,1150805022,0.8600000143051147,0.34689998626708984,-503737.4375,36664.65234375,2.349049247532897e+20,1.72118902206421,1.14921629428864
410,1150805012,0.8799999952316284,0.41610002517700195,-500758.484375,30548.001953125,1.9608652417267938e+20,1.72782146930695,1.26243269443512
411,1150805022,0.8799999952316284,0.32690000534057617,-504204.0625,36416.71484375,2.4317160255754945e+20,1.72108352184296,1.15295255184174
412,1150805013,0.8799999952316284,,-513447.9375,40804.77734375,2.2197993091426976e+20,1.72764778137207,1.15947318077087
413,1150805021,0.8799999952316284,0.7645000219345093,-505612.1875,36877.91015625,2.48942974793272e+20,1.73175811767578,1.17889559268951
414,1150805020,0.8799999952316284,0.8720999956130981,-482438.640625,21286.060546875,2.1521534591340675e+20,1.66242265701294,1.2853536605835
415,1150805019,0.8799999952316284,0.7376999855041504,-501702.0,38123.53125,2.396604653302357e+20,1.68724989891052,1.18380224704742
416,1150805017,0.8799999952316284,0.7900999784469604,-502795.953125,36797.84765625,2.418857562039168e+20,1.71920800209045,1.15319681167603
417,1150805016,0.8799999952316284,0.8102999925613403,-506083.953125,29033.5078125,1.916300512881401e+20,1.73627281188965,1.18295788764954
418,1150805015,0.8799999952316284,0.8429000377655029,-495439.171875,42007.15234375,2.7352847742776515e+20,1.68342363834381,1.21101951599121
419,1150805014,0.8799999952316284,,-496693.796875,36322.265625,2.5004988088834753e+20,1.70484161376953,1.20168900489807
420,1150805013,0.8999999761581421,,-504994.125,38253.41015625,2.3449665359215116e+20,1.73627889156342,1.16236245632172
421,1150805014,0.8999999761581421,,-494812.875,38291.2265625,2.63278719842513e+20,1.6967146396637,1.20976102352142
422,1150805012,0.8999999761581421,0.3961000442504883,-505766.703125,29277.80859375,2.1526600616329082e+20,1.75150573253632,1.22251439094543
423,1150805015,0.8999999761581421,0.8229000568389893,-493868.328125,31420.8984375,2.3762402988536726e+20,1.69669783115387,1.20349192619324
424,1150805016,0.8999999761581421,0.7903000116348267,-499664.53125,30997.1953125,2.12773254121755e+20,1.71917855739594,1.19598782062531
425,1150805017,0.8999999761581421,0.7700999975204468,-500289.796875,36173.375,2.551162797088031e+20,1.72410500049591,1.1747419834137
426,1150805019,0.8999999761581421,0.7177000045776367,-504983.875,41656.77734375,2.512623562651462e+20,1.70955669879913,1.15331506729126
427,1150805020,0.8999999761581421,0.8521000146865845,-488704.5625,34212.0390625,2.059064864586027e+20,1.66282939910889,1.26266920566559
428,1150805021,0.8999999761581421,0.7445000410079956,-500605.0,38862.2421875,2.562807264012236e+20,1.73340940475464,1.15282905101776
429,1150805022,0.8999999761581421,0.3069000244140625,-506705.125,37811.6015625,2.5091635486179046e+20,1.73041522502899,1.14278650283813
430,1150805013,0.9199999570846558,,-500292.875,33090.73828125,2.3830290110694336e+20,1.74002265930176,1.16544425487518
431,1150805014,0.9199999570846558,,-494968.421875,38576.7421875,2.743480687555861e+20,1.69025027751923,1.21345782279968
432,1150805012,0.9200000166893005,0.37610000371932983,-499036.109812649,31044.2109375,2.4309937330825137e+20,1.73500156402588,1.2481541633606
433,1150805015,0.9200000166893005,0.8029000163078308,-482284.95400961,34040.6875,2.0510939448890917e+20,1.66339695453644,1.27153074741364
434,1150805017,0.9200000166893005,0.7500999569892883,-500127.720519219,37115.82421875,2.6644121620609945e+20,1.72720038890839,1.15948414802551
435,1150805016,0.9200000166893005,0.7702999711036682,-500604.89167722,36524.19140625,2.2801723265102823e+20,1.71643400192261,1.1666955947876
436,1150805022,0.9200000166893005,0.28689998388290405,-504668.782032181,41158.98828125,2.5411304642318185e+20,1.72088205814362,1.13320279121399
437,1150805021,0.9200000166893005,0.7245000004768372,-498412.077687351,41411.76171875,2.613963846453222e+20,1.71051228046417,1.15587556362152
438,1150805020,0.9200000166893005,0.832099974155426,-509522.54599039,32507.3046875,2.217178463942205e+20,1.71797680854797,1.18528044223785
439,1150805019,0.9200000166893005,0.6976999640464783,-505295.063282181,39510.27734375,2.578674082649219e+20,1.71834194660187,1.15350914001465
440,1150805012,0.9399999976158142,0.35610002279281616,-494496.671875,20971.24609375,2.0305016759327002e+20,1.74580943584442,1.23421263694763
441,1150805019,0.9399999976158142,0.6776999831199646,-502790.84375,39981.0390625,2.682038196844002e+20,1.72562479972839,1.14594089984894
442,1150805013,0.9399999976158142,,-489801.609375,27899.341796875,2.0381072644327627e+20,1.70496869087219,1.24259209632874
443,1150805020,0.9399999976158142,0.8120999932289124,-504512.09375,31529.619140625,2.3114355239387742e+20,1.7315000295639,1.16234791278839
444,1150805021,0.9399999976158142,0.7045000195503235,-498413.0,41079.37109375,2.6456379212553837e+20,1.69668555259705,1.17435264587402
445,1150805022,0.9399999976158142,0.2669000029563904,-506239.5,38617.01953125,2.5682233184767302e+20,1.7311372756958,1.13693535327911
446,1150805016,0.9399999976158142,0.7502999901771545,-500604.984375,35126.58984375,2.4293360760520337e+20,1.70074498653412,1.18860971927643
447,1150805017,0.9399999976158142,0.7300999760627747,-498406.84375,36042.46484375,2.629018746413007e+20,1.72513091564178,1.15880751609802
448,1150805015,0.9399999976158142,0.7829000353813171,-500453.546875,44175.24609375,2.1124529756833058e+20,1.68847346305847,1.20166254043579
449,1150805014,0.9399999976158142,,-494494.625,37475.67578125,2.8668728415537693e+20,1.68785667419434,1.22141468524933
450,1150805013,0.9599999785423279,,-488230.75,13325.5478515625,1.478317876079794e+20,1.68343865871429,1.2909722328186
