shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1120919001,1.5800000429153442,0.08969998359680176,1.2220119125855935e+20,702260.6875,1.6020548343658447,31678.689453125,1.5133049488067627
1150501008,1.5800000429153442,0.17509996891021729,1.1738803177746267e+20,-674550.094141324,1.67523205280304,22311.25,1.60606861114502
1150812008,1.5800000429153442,0.04049992561340332,1.5421909609918408e+20,-944610.595743888,1.62172162532806,56601.1640625,1.81093633174896
1050621020,1.5800000429153442,0.12449991703033447,1.5269113248190405e+20,-538279.9375,1.7311302423477173,22364.296875,1.4917393922805786
1050526011,1.5800000429153442,0.17709994316101074,2.3645403934820506e+20,-890340.75,1.4067364931106567,49545.921875,1.605238437652588
1160525001,1.5800000429153442,0.15529990196228027,1.5509366214561785e+20,-605092.0,1.3461741209030151,22378.779296875,1.7155672311782837
1150915012,1.5822999477386475,0.020000100135803223,5.429015345424135e+19,856992.4375,1.4793695211410522,32763.43359375,1.557815670967102
1150915012,1.583299994468689,0.01900005340576172,5.4601598123522335e+19,854794.3125,1.4784719944000244,34122.06640625,1.5612128973007202
1150915012,1.5843000411987305,0.018000006675720215,5.288165406117036e+19,853222.2521230632,1.4823486804962158,33624.9609375,1.5567221641540527
1150915012,1.5852999687194824,0.01700007915496826,5.304025359636416e+19,850715.25,1.48358952999115,33672.5625,1.5543125867843628
1150915012,1.586300015449524,0.016000032424926758,5.3410152325691654e+19,848834.3125,1.485942244529724,34079.6953125,1.5530049800872805
1150915012,1.5872999429702759,0.015000104904174805,5.343613140496644e+19,846951.4375,1.4762645959854126,33691.8203125,1.5631616115570068
1150915012,1.5882999897003174,0.0140000581741333,5.423622439210934e+19,844131.0625,1.474387526512146,33784.8359375,1.5639444589614868
1150915012,1.5893000364303589,0.013000011444091797,5.6095276933162705e+19,841934.5630587008,1.4735934734344482,32933.07421875,1.5630935430526731
1150915012,1.5902999639511108,0.012000083923339844,5.603794227175583e+19,840365.1875,1.4752554893493652,32913.40234375,1.561240792274475
1150915012,1.5913000106811523,0.01100003719329834,5.493792481722221e+19,837855.9375,1.4813485145568848,32220.328125,1.5578097105026243
1150915012,1.5923000574111938,0.009999990463256836,5.398353595779885e+19,836287.5639526221,1.4884719848632812,33539.88671875,1.546027421951294
1150915012,1.5932999849319458,0.009000062942504883,5.373344291491092e+19,834716.3125,1.4777445793151855,34120.8125,1.5561811923980713
1150915012,1.5943000316619873,0.008000016212463379,5.350073583620526e+19,831580.75,1.4804809093475342,32903.42578125,1.5527464151382446
1150915012,1.5952999591827393,0.007000088691711426,5.3865875165271106e+19,830011.0,1.4904251098632812,35098.578125,1.5405292510986328
1150915012,1.5963000059127808,0.006000041961669922,5.4137957668486095e+19,828123.9375,1.4858661890029907,36496.21484375,1.5371249914169312
1150915012,1.5973000526428223,0.004999995231628418,5.401962284415735e+19,824986.1258939212,1.48601233959198,32871.82421875,1.5385364294052124
1150915012,1.5982999801635742,0.004000067710876465,5.264257912564882e+19,823416.5625,1.481725573539734,34491.48046875,1.5372084379196167
1150915012,1.5993000268936157,0.003000020980834961,5.466460128244921e+19,822470.9375,1.4895821809768677,32431.28125,1.536213994026184
1050208018,1.5999999046325684,,9.496214527873437e+19,-670677.25,1.5756157636642456,23299.21484375,1.4652379751205444
1140723018,1.5999999046325684,,8.9703673744291e+19,-541292.375,1.8173091411590576,13622.630859375,1.5992823839187622
1160504021,1.5999999046325684,,7.232945488496532e+19,-532066.0,1.7658754587173462,9171.1953125,1.5403319597244265
1160712013,1.5999999046325684,,8.958317606597978e+19,-720408.5625,1.564275145530701,22824.08203125,1.4939552545547483
1120523017,1.5999999046325684,,1.1252601669971188e+20,-689511.0,1.5631529092788696,28920.33984375,1.549424409866333
1050302007,1.5999999046325684,,1.189649766942937e+20,-684025.25,1.6172209978103638,27676.421875,1.5274162292480469
1140714027,1.5999999046325684,,5.218672731955082e+19,-679912.5625,1.6883972883224487,11591.697265625,1.4203298091888428
1160701030,1.5999999046325684,,1.7842684699939648e+20,-733012.0,1.636760950088501,31374.794921875,1.5416362285614014
1050413010,1.5999999046325684,,1.3019104319044479e+20,-819033.125,1.4599764347076416,50169.5859375,1.558672308921814
1050803026,1.5999999046325684,,1.6617281629611203e+20,-598658.9375,1.273099660873413,29570.556640625,1.6767470836639404
1140711013,1.5999999046325684,,1.5302089800930663e+20,-659190.375,1.598629355430603,23661.6875,1.5710595846176147
1160706031,1.5999999046325684,,1.4476995164824299e+20,-730958.9375,1.5281556844711304,35155.3828125,1.426185965538025
1050729024,1.5999999046325684,,9.544225362807253e+19,-526863.1875,1.5155866146087646,22017.693359375,1.2786377668380737
1050218026,1.5999999046325684,,1.6016594677906014e+20,-675242.0625,1.6136939525604248,23892.048828125,1.5415490865707397
1140213021,1.5999999046325684,,1.189705622133628e+20,721674.5,1.7745368480682373,20595.142578125,1.6302025318145752
1140714005,1.5999999046325684,,1.807952830065562e+20,-663897.5625,1.528265118598938,33711.984375,1.6120080947875977
1050701002,1.5999999046325684,,1.799101673501035e+20,-737579.0,1.478789210319519,36863.6953125,1.5230993032455444
1120221023,1.5999999046325684,,1.2274854573905229e+20,-1003494.5,1.3646740913391113,42290.203125,1.5751421451568604
1150717018,1.5999999046325684,,1.477595952345121e+20,-670777.0307096,1.61998689174652,23136.705078125,1.65542888641357
1150804021,1.5999999046325684,,8.643670766450092e+19,-806581.028473465,1.58248543739319,36414.30078125,1.59613454341888
1150723006,1.5999999046325684,,5.152944532361786e+19,-515219.4375,1.72189283370972,16764.181640625,1.62832701206207
1050608012,1.5999999046325684,,3.296382303443605e+20,-826367.75,,,
1150717005,1.5999999046325684,,1.2794676622576047e+20,-682787.0,1.66239976882935,21473.748046875,1.51687431335449
1120523020,1.5999999046325684,,1.162894338953566e+20,-688564.875,1.5756068229675293,27050.05078125,1.5470823049545288
1160620016,1.5999999046325684,,1.2518675235606417e+20,-664503.0,1.8393720388412476,29343.439453125,1.6419531106948853
1050218015,1.5999999046325684,,1.1812176562499879e+20,-675076.25,1.590559720993042,22036.8203125,1.5380043983459473
1150612032,1.5999999046325684,,1.319203005575109e+20,-632409.594141324,1.53072798252106,22552.626953125,1.5446035861969
1160916001,1.5999999046325684,,1.3265764359573235e+20,660848.5,1.899669289588928,27076.009765625,1.488021731376648
1140212016,1.5999999046325684,,6.820460974547529e+20,722774.5,1.6812453269958496,24216.025390625,1.576756477355957
1160420033,1.5999999046325684,,1.5373025013498957e+20,-800992.0,1.7151342630386353,28758.8671875,1.6464197635650637
